demand_node_index,truck_node_index,distance,scaled_demand
demand11,truck9,173.94659592403326,32
demand11,truck14,169.4054166251489,33
demand11,truck17,82.60599846203378,50
demand11,truck18,120.46627021482777,45
demand11,truck29,211.94839262857775,22
demand11,truck30,219.47138436038134,20
demand11,truck36,277.13499360447656,6
demand11,truck37,357.8787458582742,0
demand11,truck38,355.54769905077427,0
demand11,truck42,362.0001176413275,0
demand11,truck43,387.5880725218448,0
demand11,truck49,474.2226233175491,0
demand11,truck44,172.61007621234842,32
demand12,truck9,113.3143871471586,33
demand12,truck14,168.1753919920475,23
demand12,truck17,194.45700745233688,18
demand12,truck18,232.3172792051309,12
demand12,truck29,322.92700485598783,0
demand12,truck30,330.4499965877914,0
demand12,truck36,388.1136058318867,0
demand12,truck37,418.23565010537266,0
demand12,truck38,364.9796924476485,0
demand12,truck42,472.9787298687376,0
demand12,truck43,498.56668474925493,0
demand12,truck49,585.2012355449592,0
demand12,truck44,283.58868843975847,3
demand13,truck9,248.31470475933293,8
demand13,truck14,243.77352546044855,8
demand13,truck17,104.78624994793587,29
demand13,truck18,142.64652170072986,24
demand13,truck29,234.12864411447984,10
demand13,truck30,241.65163584628343,9
demand13,truck36,299.31524509037865,0
demand13,truck37,380.0589973441763,0
demand13,truck38,377.7279505366764,0
demand13,truck42,384.1803691272296,0
demand13,truck43,409.7683240077469,0
demand13,truck49,496.4028748034512,0
demand13,truck44,194.7903276982505,16
demand14,truck9,118.99721593988276,23
demand14,truck14,151.2862105072712,19
demand14,truck17,177.56782596756054,15
demand14,truck18,215.42809772035454,11
demand14,truck29,306.0378233712115,0
demand14,truck30,313.5608151030151,0
demand14,truck36,371.22442434711036,0
demand14,truck37,401.3464686205964,0
demand14,truck38,348.0905109628722,0
demand14,truck42,456.0895483839613,0
demand14,truck43,481.6775032644786,0
demand14,truck49,568.3120540601828,0
demand14,truck44,266.69950695498216,4
demand16,truck9,235.18887417287505,8
demand16,truck14,82.38423764917482,25
demand16,truck17,258.38985105607077,5
demand16,truck18,296.2501228088648,0
demand16,truck29,386.8598484597217,0
demand16,truck30,394.3828401915253,0
demand16,truck36,451.97574062584545,0
demand16,truck37,375.8783968441023,0
demand16,truck38,280.07290751149134,2
demand16,truck42,536.8408646626963,0
demand16,truck43,562.4288195432136,0
demand16,truck49,649.1340791486931,0
demand16,truck44,347.52153204349236,0
demand20,truck9,199.31081672031792,15
demand20,truck14,194.76963742143354,16
demand20,truck17,167.82395467383324,20
demand20,truck18,205.68422642662725,14
demand20,truck29,207.47494007658136,14
demand20,truck30,214.99793180838495,13
demand20,truck36,272.6615410524802,4
demand20,truck37,302.78358532596627,0
demand20,truck38,268.50907150594367,5
demand20,truck42,357.5266650893311,0
demand20,truck43,383.11461996984843,0
demand20,truck49,469.7491707655527,0
demand20,truck44,168.13662366035203,20
demand21,truck9,248.70010271593094,13
demand21,truck14,244.15892341704657,14
demand21,truck17,105.17164790453386,49
demand21,truck18,143.03191965732785,39
demand21,truck29,234.51404207107785,16
demand21,truck30,242.03703380288144,14
demand21,truck36,299.70064304697667,0
demand21,truck37,330.1969477453341,0
demand21,truck38,295.92243392531145,1
demand21,truck42,384.5657670838276,0
demand21,truck43,410.1537219643449,0
demand21,truck49,496.7882727600492,0
demand21,truck44,195.17572565484852,26
demand23,truck9,359.63176691643815,0
demand23,truck14,355.99421568206236,0
demand23,truck17,182.21195610957767,3
demand23,truck18,144.2809448666688,4
demand23,truck29,251.71165680350398,1
demand23,truck30,236.99551598174736,2
demand23,truck36,316.8982577794028,0
demand23,truck37,397.64201003320045,0
demand23,truck38,489.94864075829014,0
demand23,truck42,400.9207481863648,0
demand23,truck43,426.5087030668821,0
demand23,truck49,369.79834006450756,0
demand23,truck44,212.37334038727465,2
demand25,truck9,489.33890970547617,0
demand25,truck14,484.7977304065918,0
demand25,truck17,311.88786759700025,0
demand25,truck18,287.9925487847263,3
demand25,truck29,234.71018481447274,16
demand25,truck30,177.4946723825768,31
demand25,truck36,257.97917660480533,11
demand25,truck37,339.05678596774857,0
demand25,truck38,436.1054975721155,0
demand25,truck42,341.4199045871942,0
demand25,truck43,367.0078594677115,0
demand25,truck49,256.2175119580222,11
demand25,truck44,222.25642159685557,19
demand28,truck9,329.04724244459015,0
demand28,truck14,176.2426059208899,9
demand28,truck17,322.3306442322251,0
demand28,truck18,360.1909159850191,0
demand28,truck29,251.9623688127981,4
demand28,truck30,316.41121009073805,0
demand28,truck36,316.191650637214,0
demand28,truck37,240.0943068554709,4
